task_id,ngo_id,title,ngo_name,about_task,direction_work,region,work_to_do,useful_skills,requirements_raw,skills_raw,skills_clean,directions_raw,directions_clean,format_raw,format_clean,participation_type,city_raw,city_clean,deadline,date_start,date_end,created_at,updated_at,publication_status,task_quality_score,is_duplicate_candidate,capacity,current_applications
task_00010,ngo_0069,Написать серию материалов о подопечных для сайта и соцсетей,Центр добровольчества «Архангельские волонтёры»,"Мы ищем волонтёр с опытом в визуальных материалах, который поможет команде получить понятный и применимый результат. Работа подойдёт человеку, готовому соблюдать договорённости и передать итог координатору.",Животные,Челябинск,"- редактировать материалы команды;
- брать короткие интервью у подопечных;
- выдерживать тон и стиль бренда;
- писать тексты по брифу и структуре;","Копирайтинг, помощь на мероприятии",написание текстов,"Копирайтинг, помощь на мероприятии","Копирайтинг, помощь на мероприятии","животные, зож, старшее поколение",Животные|Спорт и ЗОЖ|Помощь пожилым,Онлайн,Онлайн,Онлайн, ЧЕЛЯБИНСК ,Челябинск,2026-05-25,24.01.2026,25.05.2026,2026-01-24,2026-01-30,published,0.288,0,5,5
task_00011,ngo_0038,Снять документальный ролик о работе приюта для животных,Инициатива «Раздельный сбор — общее дело»,"Нам нужен волонтёр с опытом в визуальных материалах: предстоит включиться в работу команды, аккуратно выполнить свою часть и согласовать результат. Формат участия — оффлайн.",Спорт и ЗОЖ,Москва,"- передавать итоговые файлы команде;
- обрабатывать материалы;
- снимать на мероприятиях;
- соблюдать этику при работе с людьми;","Фото и видео, PR, Работа с детьми",монтаж | PR | занятия с детьми,"Фото и видео, PR, Работа с детьми, prompt engineering","Фото и видео, PR, Работа с детьми, prompt engineering",  зож; люди с инвалидностью  ,Спорт и ЗОЖ|Инклюзия,Оффлайн,Оффлайн,Оффлайн, Москва ,Москва,2026-05-18,27.04.2026,18.05.2026,2026-04-27,2026-05-02,published,0.625,0,1,0
task_00012,ngo_0036,Снять документальный ролик о работе приюта для животных,Благотворительный фонд «Подари тепло»,"Необходимо помочь проекту в направлении «Сельские территории». Важно разобраться в контексте, выполнить работу в срок и подготовить результат, который можно использовать дальше.",Сельские территории,Москва,"- соблюдать этику при работе с людьми;
- передавать итоговые файлы команде;
- обрабатывать материалы;
- снимать на мероприятиях;","Фото и видео, Дизайн",reels,"Фото и видео, Дизайн","Фото и видео, Дизайн","малые города,  дети и молодёжь,  экстренная помощь",Сельские территории|Дети и молодёжь|Кризисные ситуации,Оффлайн,Оффлайн,Оффлайн, Москва ,Москва,2026-07-10,15.04.2026,10.07.2026,2026-04-15,2026-04-20,closed,0.571,0,5,0
task_00013,ngo_0029,Участвовать в выездном медицинском пункте для бездомных,Инициатива «Приют для всех»,"Команде нужна поддержка волонтёра в регионе Санкт-Петербург. Задача рассчитана на ответственное участие, аккуратную коммуникацию и передачу результата координатору.",Спорт и ЗОЖ,Санкт-Петербург,"- помогать с документами для подопечных;
- участвовать в выезде или приёме;
- взаимодействовать с командой;
- вести краткую документацию;","Медицина, помощь новичкам, Исследования",первая помощь | наставничество | опросы,"Медицина, помощь новичкам, Исследования, SMM","Медицина, помощь новичкам, Исследования, SMM",зож; экстренная помощь,Спорт и ЗОЖ|Кризисные ситуации,Смешанный,Смешанный,Смешанный,Санкт-Петербург,Санкт-Петербург,2026-07-10,04.04.2026,10.07.2026,2026-04-04,2026-04-10,published,0.887,0,1,1
task_00014,ngo_0058,Провести серию уроков по финансовой грамотности для подростков,Центр добровольчества «Здесь помогут»,Потребуется помощь волонтёр с опытом в визуальных материалах. Работа связана с направлением «Культура и искусство» и предполагает практический результат без лишней бюрократии.,Культура и искусство,Екатеринбург,"- провести занятие или серию встреч;
- собрать обратную связь;
- скорректировать программу по итогам;
- подготовить содержание занятия;","Педагогика, Фото и видео",учитель,"Педагогика, Фото и видео","Педагогика, Фото и видео",культура / медицина,Культура и искусство|Здравоохранение,Онлайн,Онлайн,Онлайн, Екатеринбург ,Екатеринбург,2026-06-01,19.04.2026,01.06.2026,2026-04-19,2026-04-21,published,0.239,0,1,2
task_00015,ngo_0003,Проверить договоры организации на соответствие законодательству,АНО «Социальный ориентир»,"С 13 января 2026 года можно подключиться к проекту и помочь команде закрыть важную часть работы. Подойдёт волонтёр, которому комфортен формат «Смешанный».",Миграция,Воронеж,"- проверять документы;
- объяснять правовые вопросы простым языком;
- подготавливать шаблоны и памятки;
- проводить консультации по запросу;","Юридические услуги, Работа с документами, Копирайтинг","юрист, архив","Юридические услуги, Работа с документами, Копирайтинг","Юридические услуги, Работа с документами, Копирайтинг",  адаптация / дети и молодёжь  ,Миграция|Дети и молодёжь,Смешанный,Смешанный,Смешанный, ВОРОНЕЖ ,Воронеж,2026-05-25,13.01.2026,25.05.2026,2026-01-13,2026-01-21,published,0.675,0,1,2
task_00016,ngo_0073,Провести опрос участников программы о качестве услуг,АНО «Гражданская поддержка»,"До 25 мая 2026 года нужно подготовить результат для команды. Будет полезен человек, который умеет работать самостоятельно и вовремя согласовывать промежуточные шаги.",Образование,Санкт-Петербург,"- подготовить краткий отчёт с выводами;
- разработать анкету или гайд;
- провести интервью или опросы;
- систематизировать результаты;","Исследования, Наставничество, Работа с детьми","исследования, наставничество","Исследования, Наставничество, Работа с детьми","Исследования, Наставничество, Работа с детьми","образование,  приюты,  права человека,  здравоохранение",Образование|Животные|Правозащита|Здравоохранение,Онлайн,Онлайн,Онлайн,Санкт-Петербург,Санкт-Петербург,2026-05-25,25.02.2026,25.05.2026,2026-02-25,2026-03-06,published,0.831,0,3,4
task_00017,ngo_0046,Участвовать в выездном медицинском пункте для бездомных,Просветительская инициатива «Медиаграмотность»,Нужна волонтёрская помощь в формате «Онлайн». Основной фокус — довести работу до завершения и передать материалы или выводы координатору.,Правозащита,Санкт-Петербург,"- вести краткую документацию;
- взаимодействовать с командой;
- участвовать в выезде или приёме;
- помогать с документами для подопечных;","Медицина, Фото и видео",медик,"Медицина, Фото и видео","Медицина, Фото и видео",  юридическая помощь / помощь животным / образование / мигранты  ,Правозащита|Животные|Образование|Миграция,Онлайн,Онлайн,Онлайн, САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,2026-06-01,26.01.2026,01.06.2026,2026-01-26,2026-01-26,published,0.335,0,1,2
task_00018,ngo_0040,Разработать простой сайт для некоммерческой организации,АНО «Взаимодействие»,"Команда ищет участника, который сможет быстро погрузиться в задачу и помочь в направлении «Люди без жилья». Особенно пригодятся навыки: Программирование, PR и помощь новичкам.",Люди без жилья,Екатеринбург,"- уточнить техническое задание;
- оформить документацию;
- разработать решение;
- протестировать и передать результат;","Программирование, PR, помощь новичкам",  программирование / PR / помощь новичкам / аниматор  ,"Программирование, PR, помощь новичкам, Работа с детьми, Педагогика","Программирование, PR, помощь новичкам, Работа с детьми, Педагогика",бездомные,Люди без жилья,Онлайн,Онлайн,Онлайн, ЕКАТЕРИНБУРГ ,Екатеринбург,2026-05-18,04.03.2026,18.05.2026,2026-03-04,2026-03-12,published,0.824,0,1,1
task_00019,ngo_0012,Написать серию материалов о подопечных для сайта и соцсетей,Центр добровольчества «Единство»,"Это практическая волонтёрская задача с понятным результатом. Нужно внимательно выполнить договорённости, учитывать контекст региона Красноярск и передать итог команде.",Социальная помощь,Красноярск,"- выдерживать тон и стиль бренда;
- редактировать материалы команды;
- писать тексты по брифу и структуре;
- брать короткие интервью у подопечных;","Копирайтинг, Медицина",  редактура  ,"Копирайтинг, Медицина","Копирайтинг, Медицина","  помощь людям, сельские территории  ",Социальная помощь|Сельские территории,Оффлайн,Оффлайн,Оффлайн,Красноярск,Красноярск,2026-07-10,18.04.2026,10.07.2026,2026-04-18,2026-04-25,published,0.56,0,1,1
task_00020,ngo_0045,Написать и разослать пресс-релиз о мероприятии,Волонтёрский центр «Псковские добровольцы»,"Мы ищем волонтёр с опытом в визуальных материалах, который поможет команде получить понятный и применимый результат. Работа подойдёт человеку, готовому соблюдать договорённости и передать итог координатору.",Миграция,Омск,"- помогать с выступлениями спикеров;
- выстраивать контакты с журналистами;
- готовить питчи и предложения для СМИ;
- составлять пресс-релизы;","PR, Организация мероприятий, Фото и видео",  пиар / мероприятия / фото и видео / чат-боты  ,"PR, Организация мероприятий, Фото и видео, Коммуникация","PR, Организация мероприятий, Фото и видео, Коммуникация",миграция / искусство / приюты,Миграция|Культура и искусство|Животные,Онлайн,Онлайн,Онлайн, Омск ,Омск,2026-06-01,07.02.2026,01.06.2026,2026-02-07,2026-02-11,published,0.896,0,5,2
task_00021,ngo_0074,Перевести памятку о правах для мигрантов,АНО «Честный город»,"Нам нужен волонтёр для работы с контентом и коммуникациями: предстоит включиться в работу команды, аккуратно выполнить свою часть и согласовать результат. Формат участия — онлайн.",Здравоохранение,Москва,"- соблюдать конфиденциальность;
- помогать на встречах;
- адаптировать материалы для аудитории;
- переводить документы и переписку;","Переводы, SMM",перевод текстов,"Переводы, SMM","Переводы, SMM","здравоохранение, села, права человека",Здравоохранение|Сельские территории|Правозащита,Онлайн,Онлайн,Онлайн, МОСКВА ,Москва,2026-05-18,14.03.2026,18.05.2026,2026-03-14,2026-03-20,published,0.853,0,3,4
task_00022,ngo_0058,Разработать программу профориентации для выпускников детдома,Центр добровольчества «Здесь помогут»,"Необходимо помочь проекту в направлении «Сельские территории». Важно разобраться в контексте, выполнить работу в срок и подготовить результат, который можно использовать дальше.",Сельские территории,Москва,"- собрать обратную связь;
- подготовить содержание занятия;
- скорректировать программу по итогам;
- провести занятие или серию встреч;","Педагогика, Аналитика, Копирайтинг",  обучение; excel  ,"Педагогика, Аналитика, Копирайтинг","Педагогика, Аналитика, Копирайтинг",сельские территории; зож,Сельские территории|Спорт и ЗОЖ,Онлайн,Онлайн,Онлайн, Москва ,Москва,2026-06-10,22.03.2026,10.06.2026,2026-03-22,2026-03-25,published,0.103,0,1,0
task_00023,ngo_0000,Провести опрос участников программы о качестве услуг,Образовательный центр «Точка роста»,"Команде нужна поддержка волонтёра в регионе Санкт-Петербург. Задача рассчитана на ответственное участие, аккуратную коммуникацию и передачу результата координатору.",Люди без жилья,Санкт-Петербург,"- разработать анкету или гайд;
- систематизировать результаты;
- провести интервью или опросы;
- подготовить краткий отчёт с выводами;","Исследования, Аналитика, Программирование","кабинетное исследование,  АНАЛИТИКА,  программирование","Исследования, Аналитика, Программирование, Фото и видео","Исследования, Аналитика, Программирование, Фото и видео",ночлежка,Люди без жилья,Смешанный,Смешанный,Смешанный,Санкт-Петербург,Санкт-Петербург,2026-05-18,09.05.2026,18.05.2026,2026-05-09,2026-05-09,published,0.45,0,5,1
task_00024,ngo_0029,Снять документальный ролик о работе приюта для животных,Инициатива «Приют для всех»,Потребуется помощь волонтёр с опытом в визуальных материалах. Работа связана с направлением «Спорт и ЗОЖ» и предполагает практический результат без лишней бюрократии.,Спорт и ЗОЖ,Санкт-Петербург,"- передавать итоговые файлы команде;
- обрабатывать материалы;
- соблюдать этику при работе с людьми;
- снимать на мероприятиях;","Фото и видео, Медицина",  видео  ,"Фото и видео, Медицина","Фото и видео, Медицина",спорт; экология,Спорт и ЗОЖ|Экология,Онлайн,Онлайн,Онлайн, САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,2026-06-01,28.01.2026,01.06.2026,2026-01-28,2026-01-29,published,0.715,0,2,2
task_00025,ngo_0018,Стать наставником для выпускника детского дома,АНО «Активная позиция»,"С 28 февраля 2026 года можно подключиться к проекту и помочь команде закрыть важную часть работы. Подойдёт волонтёр, которому комфортен формат «Оффлайн».",Инклюзия,Ростов-на-Дону,"- соблюдать конфиденциальность;
- участвовать во встречах наставников;
- помогать с конкретными задачами и целями;
- регулярно общаться с подопечным;","Наставничество, Фото и видео, Копирайтинг",  помощь новичкам; фото и видео; написание текстов  ,"Наставничество, Фото и видео, Копирайтинг, Аналитика","Наставничество, Фото и видео, Копирайтинг, Аналитика",люди с инвалидностью,Инклюзия,Оффлайн,Оффлайн,Оффлайн,РОСТОВ-НА-ДОНУ,Ростов-на-Дону,2026-05-25,28.02.2026,25.05.2026,2026-02-28,2026-03-03,published,0.837,0,1,0
task_00026,ngo_0057,Перевести памятку о правах для мигрантов,Центр добровольчества «Самарские добровольцы»,"До 25 мая 2026 года нужно подготовить результат для команды. Будет полезен человек, который умеет работать самостоятельно и вовремя согласовывать промежуточные шаги.",Здравоохранение,Уфа,"- соблюдать конфиденциальность;
- переводить документы и переписку;
- адаптировать материалы для аудитории;
- помогать на встречах;","Переводы, IT, Медицина",  переводы / нейросети  ,"Переводы, IT, Медицина","Переводы, IT, Медицина","здравоохранение, искусство, экологические проекты",Здравоохранение|Культура и искусство|Экология,Онлайн,Онлайн,Онлайн,Уфа,Уфа,2026-05-25,12.03.2026,25.05.2026,2026-03-12,2026-03-21,published,0.766,0,5,1
task_00027,ngo_0023,Снять документальный ролик о работе приюта для животных,Инициатива «Волонтёры у ночлежки»,Нужна волонтёрская помощь в формате «Оффлайн». Основной фокус — довести работу до завершения и передать материалы или выводы координатору.,Здравоохранение,Самара,"- снимать на мероприятиях;
- передавать итоговые файлы команде;
- обрабатывать материалы;
- соблюдать этику при работе с людьми;","Фото и видео, IT, PR","reels,  техническая помощь","Фото и видео, IT, PR","Фото и видео, IT, PR","здравоохранение,  помощь пожилым,  здоровый образ жизни",Здравоохранение|Помощь пожилым|Спорт и ЗОЖ,Оффлайн,Оффлайн,Оффлайн,Самара,Самара,2026-06-01,08.05.2026,01.06.2026,2026-05-08,2026-05-08,draft,0.743,0,2,1
task_00028,ngo_0078,Написать серию материалов о подопечных для сайта и соцсетей,Фонд «Доступная жизнь»,"Команда ищет участника, который сможет быстро погрузиться в задачу и помочь в направлении «Инклюзия». Особенно пригодятся навыки: Копирайтинг, Переводы и Работа с документами.",Инклюзия,Казань,"- писать тексты по брифу и структуре;
- выдерживать тон и стиль бренда;
- редактировать материалы команды;
- брать короткие интервью у подопечных;","Копирайтинг, Переводы, Работа с документами",  написание текстов; перевод текстов; бумаги; съемка; медик; canva  ,"Копирайтинг, Переводы, Работа с документами, Фото и видео, Медицина, Работа с детьми","Копирайтинг, Переводы, Работа с документами, Фото и видео, Медицина, Работа с детьми",люди с инвалидностью | спорт,Инклюзия|Спорт и ЗОЖ,Онлайн,Онлайн,Онлайн, КАЗАНЬ ,Казань,2026-06-10,29.03.2026,10.06.2026,2026-03-29,2026-03-29,published,0.672,0,1,3
task_00029,ngo_0060,Провести первичный обзвон новых участников программы,Образовательный проект «Язык доброты»,"Это практическая волонтёрская задача с понятным результатом. Нужно внимательно выполнить договорённости, учитывать контекст региона Ростов-на-Дону и передать итог команде.",Образование,Ростов-на-Дону,"- фиксировать обращения в базе;
- обрабатывать входящие обращения;
- отвечать на запросы по телефону или в мессенджере;
- вести переписку с участниками;",Коммуникация,коммуникации,Коммуникация,Коммуникация,образование | спорт,Образование|Спорт и ЗОЖ,Смешанный,Смешанный,Смешанный, Ростов-на-Дону ,Ростов-на-Дону,2026-06-10,16.01.2026,10.06.2026,2026-01-16,2026-01-23,published,0.826,0,2,3
task_00030,ngo_0014,Организовать субботник в парке при поддержке НКО,Инициатива «Горячая линия доброй помощи»,"Мы ищем волонтёр-организатор, который поможет команде получить понятный и применимый результат. Работа подойдёт человеку, готовому соблюдать договорённости и передать итог координатору.",Кризисные ситуации,Санкт-Петербург,"- решать оперативные вопросы в день проведения;
- составить план мероприятия;
- подготовить краткий отчёт;
- координировать участников;","Организация мероприятий, Переводы",организация мероприятий,"Организация мероприятий, Переводы","Организация мероприятий, Переводы",  кризисные ситуации; молодежь; адаптация; просвещение  ,Кризисные ситуации|Дети и молодёжь|Миграция|Образование,Оффлайн,Оффлайн,Оффлайн,Санкт-Петербург,Санкт-Петербург,2026-06-10,08.05.2026,10.06.2026,2026-05-08,2026-05-11,published,0.327,0,5,4
task_00031,ngo_0012,Проанализировать эффективность работы горячей линии,Центр добровольчества «Единство»,"Нам нужен волонтёр с опытом в визуальных материалах: предстоит включиться в работу команды, аккуратно выполнить свою часть и согласовать результат. Формат участия — онлайн.",Сельские территории,Санкт-Петербург,"- построить визуализацию или дашборд;
- изучить исходные данные;
- подготовить выводы в понятном формате;
- дать рекомендации команде;",Аналитика,  data analysis  ,Аналитика,Аналитика,села,Сельские территории,Онлайн,Онлайн,Онлайн, САНКТ-ПЕТЕРБУРГ ,Санкт-Петербург,2026-05-18,26.03.2026,18.05.2026,2026-03-26,2026-04-01,published,0.841,0,1,1
task_00032,ngo_0089,Написать серию материалов о подопечных для сайта и соцсетей,АНО «Инклюзивное пространство»,"Необходимо помочь проекту в направлении «Инклюзия». Важно разобраться в контексте, выполнить работу в срок и подготовить результат, который можно использовать дальше.",Инклюзия,Омск,"- брать короткие интервью у подопечных;
- выдерживать тон и стиль бренда;
- писать тексты по брифу и структуре;
- редактировать материалы команды;","Копирайтинг, Педагогика, Аналитика",  копирайтинг; обучение  ,"Копирайтинг, Педагогика, Аналитика","Копирайтинг, Педагогика, Аналитика",инклюзия; здравоохранение,Инклюзия|Здравоохранение,Смешанный,Смешанный,Смешанный, ОМСК ,Омск,2026-06-10,04.04.2026,10.06.2026,2026-04-04,2026-04-12,published,0.786,0,1,0
task_00033,ngo_0006,Создать брендбук для новой организации,Волонтёрский центр «Открытое сердце»,"Команде нужна поддержка волонтёра в регионе Москва. Задача рассчитана на ответственное участие, аккуратную коммуникацию и передачу результата координатору.",Культура и искусство,Москва,"- передавать готовые файлы;
- адаптировать материалы под разные форматы;
- согласовывать правки с командой;
- разрабатывать макеты по брифу;","Дизайн, Работа с детьми, IT",  figma; работа с детьми; ux research  ,"Дизайн, Работа с детьми, IT","Дизайн, Работа с детьми, IT",музеи,Культура и искусство,Оффлайн,Оффлайн,Оффлайн, Москва ,Москва,2026-06-10,09.04.2026,10.06.2026,2026-04-09,2026-04-17,published,0.307,0,1,1
